idx,blk,expected_fee,actual_fee,carry,expected_price,actual_price,expected_tickAfter,actual_tickAfter,pool_value
0,21763873,530,500,30,2495,2495,-198100,-198100,303699.44
1,21763900,504,530,-26,2508,2508,-198048,-198048,304511.77
2,21763956,521,500,21,2476,2476,-198176,-198176,302514.10
3,21763988,504,521,-17,2488,2488,-198126,-198126,303285.51
4,21764003,502,500,2,2480,2480,-198160,-198160,302760.22
5,21764042,501,502,-1,2481,2481,-198153,-198153,302865.90
6,21764057,501,500,1,2488,2488,-198126,-198126,303285.18
7,21764080,519,520,-1,2458,2458,-198248,-198248,301392.03
8,21764087,610,500,110,2494,2532,-198103,-197952,352003.92
9,21764089,501,610,-109,2499,2537,-198084,-197929,352349.82
10,21764135,501,500,1,2500,2539,-198080,-197925,352415.06
11,21764146,502,503,-1,2494,2531,-198103,-197954,351994.78
12,21764156,501,500,1,2496,2535,-198092,-197940,352190.57
13,21764163,510,501,9,2509,2557,-198043,-197854,353086.50
14,21764174,501,509,-8,2512,2564,-198029,-197827,353339.51
15,21764192,513,500,13,2526,2590,-197976,-197726,354284.28
16,21764196,502,515,-13,2522,2581,-197992,-197757,353998.49
17,21764212,501,500,1,2524,2587,-197981,-197737,354193.17
18,21764212,500,501,-1,2524,2587,-197981,-197737,354193.17
19,21764258,506,505,1,2516,2570,-198014,-197801,353597.93
20,21764305,505,506,-1,2501,2555,-198075,-197863,304088.83
21,21764307,501,500,1,2503,2557,-198065,-197853,304238.63
22,21764333,518,501,17,2533,2587,-197947,-197736,306094.31
23,21764348,501,518,-17,2529,2583,-197962,-197752,305848.28
24,21764357,501,500,1,2532,2585,-197953,-197742,288273.41
25,21764396,501,501,0,2536,2590,-197934,-197723,288538.60
26,21764403,501,500,1,2538,2592,-197927,-197716,288638.01
27,21764423,501,501,0,2542,2596,-197913,-197703,289688.37
28,21764450,503,500,3,2554,2608,-197865,-197655,290348.03
29,21764527,505,503,2,2569,2624,-197806,-197594,291177.63
30,21764531,501,502,-1,2572,2627,-197796,-197584,291324.29
31,21764539,502,500,2,2579,2634,-197768,-197555,291717.60
32,21764545,501,502,-1,2580,2635,-197765,-197552,291756.27
33,21764551,501,500,1,2586,2642,-197739,-197526,291263.89
34,21764557,503,501,2,2599,2654,-197691,-197480,291922.98
35,21764580,501,502,-1,2606,2662,-197663,-197452,292318.06
36,21764589,501,500,1,2605,2661,-197666,-197454,292283.75
37,21764598,500,501,-1,2605,2661,-197666,-197454,292283.41
38,21764611,501,500,1,2613,2668,-197638,-197427,292678.22
39,21764636,501,501,0,2617,2672,-197623,-197412,292887.80
40,21764669,501,500,1,2618,2674,-197616,-197405,292979.85
41,21764682,520,521,-1,2586,2641,-197738,-197529,291266.04
42,21764718,502,500,2,2595,2650,-197705,-197496,291727.49
43,21764723,511,502,9,2619,2675,-197612,-197403,293043.76
44,21764747,526,535,-9,2582,2637,-197757,-197545,273809.76
45,21764789,501,500,1,2580,2635,-197761,-197552,302266.92
46,21764795,526,527,-1,2560,2598,-197842,-197695,301000.04
47,21764820,511,510,1,2547,2574,-197894,-197786,300185.02
48,21764889,508,501,7,2554,2594,-197864,-197711,309713.92
49,21764917,512,507,5,2564,2618,-197826,-197617,310330.08
50,21764926,513,505,8,2574,2644,-197786,-197516,310987.93
51,21764959,515,508,7,2585,2673,-197743,-197408,310744.11
52,21764970,503,507,-4,2590,2686,-197724,-197362,311046.54
53,21764979,601,500,101,2620,2763,-197610,-197079,312893.55
54,21764980,541,642,-101,2602,2714,-197679,-197258,311781.86
55,21765008,501,500,1,2602,2713,-197679,-197259,311774.04
56,21765026,501,502,-1,2602,2713,-197680,-197261,311761.58
57,21765030,501,500,1,2601,2710,-197684,-197271,311698.03
58,21765035,542,543,-1,2582,2661,-197754,-197453,310554.34
59,21765048,501,500,1,2582,2662,-197754,-197451,310565.54
60,21765063,501,502,-1,2580,2655,-197763,-197476,310408.93
61,21765064,501,500,1,2582,2661,-197755,-197455,310541.66
62,21765085,501,501,0,2584,2666,-197748,-197437,310662.89
63,21765092,511,500,11,2594,2690,-197710,-197344,311267.45
64,21765124,501,512,-11,2593,2688,-197714,-197354,311204.85
